iter	RMSE
0	1.178934203
1	1.103255862
2	1.036049714
3	0.953054807
4	0.8971684641
5	0.8474618482
6	0.8107168925
7	0.7736913124
8	0.7432106274
9	0.6922811148
10	0.6683753426
11	0.6357610237
12	0.6024543819
13	0.5624273482
14	0.5279907433
15	0.5025072405
16	0.4735016941
17	0.4565359996
18	0.436040906
19	0.4224454963
20	0.4061636502
21	0.3852111153
22	0.3715102997
23	0.3529129768
24	0.3327390904
25	0.312502769
26	0.2939959123
27	0.2845527013
28	0.2734565391
29	0.2609536296
30	0.2490847781
31	0.2359083182
32	0.2267036329
33	0.2171036333
34	0.2063051675
35	0.1984766617
36	0.1901560384
37	0.1820155304
38	0.1766777057
39	0.1715158048
40	0.1651532963
41	0.1578064541
42	0.1534479475
43	0.1439627852
44	0.140020066
45	0.1334908214
46	0.1290822676
47	0.1208167558
48	0.1167675189
49	0.1123024717
50	0.1074668738
51	0.1010721208
52	0.09499360936
53	0.08993265182
54	0.08399651349
55	0.08036568299
56	0.07549484791
57	0.07087099235
58	0.06675978817
59	0.06254546767
60	0.05865609704
61	0.05594605075
62	0.05255183259
63	0.05053199684
64	0.04712998329
65	0.04413639813
66	0.04135401892
67	0.03911629593
68	0.03655430646
69	0.03530342865
70	0.03309203816
71	0.03139047478
72	0.02975680063
73	0.02818482187
74	0.02608158441
75	0.02483228256
76	0.02332541506
77	0.02191485737
78	0.02083627763
79	0.02000048229
80	0.01894804086
81	0.01837866376
82	0.01760704454
83	0.01679421726
84	0.01552825072
85	0.01468495115
86	0.01399711262
87	0.01318015927
88	0.01244581902
89	0.01211298937
90	0.01139851552
91	0.01085937328
92	0.0104977087
93	0.01001670002
94	0.00944874452
95	0.009006307971
96	0.008536952013
97	0.008247701325
98	0.007841230281
99	0.007340813759
100	0.006963249472
101	0.006562964149
102	0.006260816691
103	0.006064043948
104	0.005769449928
105	0.005577482334
106	0.005394897121
107	0.005105143431
108	0.00489909474
109	0.004604272153
110	0.004437974735
111	0.004241016644
112	0.00405788676
113	0.003844135919
114	0.003639042135
115	0.003454590028
116	0.003259126966
117	0.003073750865
118	0.002877590797
119	0.002804262436
120	0.002688948664
121	0.002547258863
122	0.002462606773
123	0.002290264939
124	0.002202979315
125	0.002139334294
126	0.002081051194
127	0.001963604189
128	0.001867166126
129	0.001742564982
130	0.001640634145
131	0.001563520238
132	0.001523158661
133	0.001424091771
134	0.001357423324
135	0.001271158275
136	0.001168808386
137	0.001121380007
138	0.001053672753
139	0.000989104932
140	0.0009158142709
141	0.0008488779584
142	0.0008080967449
143	0.0007643385358
144	0.000733999029
145	0.0007073320951
146	0.0006746270888
147	0.0006360581389
148	0.0006080252211
149	0.0005708397866
150	0.0005426062883
151	0.0005105286089
152	0.0004865727038
153	0.0004627281281
154	0.0004402989939
155	0.0004205511102
156	0.0004052455
157	0.0003802040862
158	0.0003613930079
159	0.0003460133491
160	0.0003277457389
161	0.0003111703843
162	0.0002931998241
163	0.0002793030174
164	0.0002679846081
165	0.0002531971391
166	0.0002414942161
167	0.0002318930802
168	0.000217570279
169	0.0002006194353
170	0.000191454663
171	0.0001834333603
172	0.0001736713492
173	0.000164688109
174	0.0001551303728
175	0.0001479241445
176	0.0001409286892
177	0.000133551019
178	0.0001275344411
179	0.0001207849147
180	0.0001147208323
181	0.0001078911385
182	0.0001030477243
183	9.692914664e-05
184	9.016546242e-05
185	8.548826348e-05
186	8.135841172e-05
187	7.865863619e-05
188	7.467325363e-05
189	7.15624923e-05
190	6.735605868e-05
191	6.412097939e-05
192	6.001973016e-05
193	5.818278201e-05
194	5.61263432e-05
195	5.338001207e-05
196	5.160721831e-05
197	4.801947895e-05
198	4.654749648e-05
199	4.49243056e-05
200	4.286017946e-05
201	4.125541282e-05
202	3.931670314e-05
203	3.710367136e-05
204	3.476694484e-05
205	3.32272907e-05
206	3.207368893e-05
207	3.008842507e-05
208	2.88652049e-05
209	2.781036817e-05
210	2.620599482e-05
211	2.494494445e-05
212	2.366439547e-05
213	2.183352516e-05
214	2.098801705e-05
215	1.985230379e-05
216	1.850645818e-05
217	1.742520868e-05
218	1.683279736e-05
219	1.592300723e-05
220	1.52808385e-05
221	1.435191815e-05
222	1.391008799e-05
223	1.301012222e-05
224	1.244947868e-05
225	1.169968432e-05
226	1.121485775e-05
227	1.036220919e-05
228	9.736857667e-06
229	9.390978843e-06
230	8.907870655e-06
231	8.66968009e-06
232	8.233109517e-06
233	7.901553511e-06
234	7.427023098e-06
235	6.979861443e-06
236	6.483721536e-06
237	6.259988519e-06
238	6.020176487e-06
239	5.805206173e-06
240	5.45681385e-06
241	5.167049117e-06
242	4.978025538e-06
243	4.796458173e-06
244	4.485870309e-06
245	4.179015718e-06
246	3.935703913e-06
247	3.699369689e-06
248	3.600491349e-06
249	3.474634311e-06
250	3.302427658e-06
251	3.122577792e-06
252	2.991314484e-06
