iter	Passed	Remaining
492	862	449
493	864	447
494	865	445
495	866	443
496	868	441
497	869	440
498	871	438
499	872	436
500	873	434
501	875	432
502	876	430
503	878	428
504	879	426
505	880	424
506	882	423
507	884	421
508	885	419
509	886	417
510	888	415
511	889	413
512	891	411
513	892	409
514	893	407
515	895	406
516	896	404
517	898	402
518	899	400
519	901	398
520	902	396
521	903	394
522	905	392
523	906	391
524	908	389
525	909	387
526	910	385
527	912	383
528	913	381
529	915	380
530	916	378
531	918	376
532	919	374
533	921	372
534	922	370
535	924	368
536	925	367
537	926	365
538	928	363
539	929	361
540	931	359
541	932	357
542	933	355
543	935	354
544	936	352
545	938	350
546	939	348
547	940	346
548	944	345
549	945	343
550	947	342
551	949	340
552	951	338
553	953	337
554	955	335
555	957	334
556	959	332
557	962	331
558	969	331
559	971	329
560	972	327
561	974	326
562	976	324
563	978	322
564	979	320
565	981	319
566	983	317
567	984	315
568	986	313
569	989	312
570	991	310
571	992	308
572	994	307
573	996	305
574	998	303
575	999	301
576	1001	300
577	1003	298
578	1005	296
579	1007	295
580	1009	293
581	1010	291
582	1012	290
583	1014	288
584	1016	286
585	1017	284
586	1019	283
587	1021	281
588	1023	279
589	1025	278
590	1027	276
591	1034	276
592	1038	274
593	1042	273
594	1046	272
595	1049	271
596	1052	269
597	1054	267
598	1055	266
599	1057	264
600	1061	263
601	1063	261
602	1065	259
603	1067	257
604	1069	256
605	1070	254
606	1072	252
607	1074	250
608	1076	249
609	1077	247
610	1079	245
611	1081	243
612	1083	242
613	1086	240
614	1089	239
615	1091	237
616	1092	235
617	1096	234
618	1098	232
619	1100	230
620	1103	229
621	1104	227
622	1106	225
623	1109	223
624	1110	222
625	1112	220
626	1115	218
627	1117	217
628	1118	215
629	1121	213
630	1122	211
631	1124	209
632	1126	208
633	1128	206
634	1130	204
635	1131	202
636	1133	200
637	1134	199
638	1136	197
639	1137	195
640	1138	193
641	1140	191
642	1142	190
643	1143	188
644	1144	186
645	1146	184
646	1148	182
647	1149	180
648	1150	179
649	1152	177
650	1153	175
651	1155	173
652	1157	171
653	1158	170
654	1161	168
655	1162	166
656	1164	164
657	1165	162
658	1167	161
659	1168	159
660	1170	157
661	1171	155
662	1172	153
663	1174	152
664	1175	150
665	1177	148
666	1178	146
667	1180	144
668	1181	143
669	1183	141
670	1184	139
671	1185	137
672	1188	135
673	1189	134
674	1191	132
675	1192	130
676	1194	128
677	1195	127
678	1197	125
679	1198	123
680	1201	121
681	1202	119
682	1204	118
683	1205	116
684	1207	114
685	1209	112
686	1211	111
687	1212	109
688	1214	107
689	1215	105
690	1217	103
691	1218	102
692	1221	100
693	1222	98
694	1224	96
695	1225	95
696	1227	93
697	1229	91
698	1230	89
699	1232	88
700	1235	86
701	1236	84
702	1237	82
703	1239	81
704	1241	79
705	1242	77
706	1244	75
707	1245	73
708	1248	72
709	1250	70
710	1251	68
711	1253	66
712	1255	65
713	1256	63
714	1258	61
715	1260	59
716	1262	58
717	1264	56
718	1265	54
719	1267	52
720	1269	51
721	1270	49
722	1271	47
723	1274	45
724	1275	43
725	1277	42
726	1278	40
727	1280	38
728	1282	36
729	1283	35
730	1285	33
731	1286	31
732	1288	29
733	1289	28
734	1290	26
735	1292	24
736	1293	22
737	1295	21
738	1296	19
739	1298	17
740	1299	15
741	1301	14
742	1302	12
743	1304	10
744	1306	8
745	1308	7
746	1309	5
747	1310	3
748	1312	1
749	1314	0
