iter	Passed	Remaining
0	6	3488
1	12	3031
2	17	2969
3	22	2831
4	27	2745
5	33	2731
6	38	2680
7	42	2637
8	49	2683
9	54	2679
10	60	2670
11	66	2690
12	71	2666
13	76	2646
14	82	2659
15	87	2656
16	93	2647
17	99	2666
18	104	2653
19	109	2638
20	115	2631
21	120	2611
22	125	2593
23	130	2590
24	135	2580
25	141	2585
26	147	2590
27	153	2595
28	159	2584
29	164	2580
30	170	2578
31	176	2575
32	182	2582
33	188	2578
34	193	2575
35	200	2580
36	205	2570
37	211	2570
38	216	2564
39	221	2552
40	227	2548
41	232	2537
42	237	2525
43	243	2522
44	248	2512
45	253	2500
46	258	2495
47	264	2491
48	269	2481
49	275	2476
50	280	2471
51	285	2462
52	292	2468
53	299	2470
54	304	2463
55	310	2463
56	316	2459
57	322	2459
58	328	2457
59	333	2448
60	339	2444
61	345	2442
62	351	2439
63	358	2439
64	363	2433
65	369	2429
66	375	2427
67	380	2417
68	385	2407
69	390	2400
70	395	2391
71	400	2381
72	406	2378
73	411	2371
74	417	2365
75	423	2362
76	428	2355
77	448	2425
78	454	2423
79	460	2418
80	466	2413
81	472	2409
82	477	2400
83	483	2395
84	489	2391
85	495	2384
86	501	2379
87	508	2378
88	514	2374
89	520	2371
90	527	2368
91	532	2362
92	539	2359
93	544	2352
94	550	2346
95	555	2339
96	561	2331
97	566	2324
98	572	2317
99	577	2311
100	583	2306
101	589	2299
102	594	2291
103	599	2284
104	605	2276
105	610	2267
106	615	2260
107	621	2254
108	626	2247
109	632	2241
110	637	2234
111	642	2225
112	647	2218
113	653	2213
114	658	2204
115	664	2198
116	669	2191
117	674	2182
118	679	2176
119	685	2169
120	689	2161
121	694	2152
122	700	2146
123	705	2138
124	710	2130
125	716	2127
126	723	2124
127	729	2120
128	734	2113
129	739	2105
130	745	2099
131	750	2092
132	755	2084
133	760	2077
134	766	2071
135	770	2063
136	775	2055
137	781	2049
138	786	2043
139	791	2035
140	797	2029
141	802	2022
142	807	2015
143	812	2009
144	817	2002
145	822	1995
146	828	1989
147	834	1984
148	839	1977
149	845	1971
150	850	1964
151	855	1957
152	860	1952
153	866	1946
154	872	1941
155	878	1936
156	883	1929
157	888	1922
158	893	1916
159	898	1910
160	903	1902
161	909	1897
162	914	1890
163	919	1883
164	924	1877
165	930	1872
166	935	1866
167	941	1861
168	946	1854
169	951	1847
170	957	1841
171	962	1835
172	967	1828
173	972	1822
174	994	1846
175	999	1839
176	1004	1833
177	1011	1828
178	1016	1823
179	1022	1817
180	1028	1812
181	1033	1805
182	1038	1799
183	1044	1793
184	1048	1785
185	1054	1780
186	1059	1773
187	1064	1766
188	1070	1761
189	1075	1754
190	1080	1747
191	1086	1742
192	1091	1736
193	1096	1729
194	1101	1722
195	1107	1717
196	1112	1711
197	1117	1704
198	1123	1699
199	1128	1692
