iter	RMSE
0	3.258285215
1	3.200090464
2	3.136490242
3	3.077293004
4	3.017278407
5	2.963596217
6	2.905355837
7	2.851288086
8	2.805656044
9	2.752777346
10	2.705637091
11	2.658269341
12	2.610384451
13	2.568070868
14	2.519548012
15	2.480973984
16	2.43701422
17	2.396104257
18	2.355546808
19	2.319171022
20	2.276409045
21	2.239291173
22	2.206145374
23	2.171660042
24	2.139675974
25	2.10824657
26	2.076595997
27	2.048407158
28	2.015368379
29	1.987283305
30	1.957245854
31	1.93026363
32	1.902473345
33	1.875869275
34	1.849209215
35	1.823276302
36	1.798515199
37	1.775941483
38	1.754882276
39	1.735194685
40	1.713764202
41	1.692575459
42	1.674287428
43	1.656319002
44	1.636728215
45	1.616936826
46	1.601815664
47	1.585137509
48	1.568683345
49	1.550934265
50	1.53602144
51	1.520696516
52	1.506905395
53	1.494032567
54	1.480617076
55	1.46770182
56	1.455367692
57	1.443022406
58	1.431776899
59	1.420493502
60	1.409057413
61	1.399020908
62	1.388811497
63	1.377981065
64	1.368123882
65	1.356771727
66	1.347447973
67	1.337475737
68	1.327775535
69	1.31795438
70	1.308123275
71	1.299089808
72	1.29090832
73	1.284035433
74	1.276502668
75	1.267739203
76	1.261326539
77	1.254864218
78	1.247069349
79	1.239860233
80	1.233489151
81	1.227176939
82	1.221511085
83	1.214405066
84	1.208148851
85	1.20236355
86	1.196157536
87	1.190313228
88	1.18573529
89	1.180461329
90	1.175429546
91	1.16965474
92	1.164942595
93	1.159436733
94	1.154027139
95	1.148885792
96	1.144508862
97	1.141673219
98	1.137362366
99	1.132575501
100	1.129634271
101	1.125823015
102	1.121604404
103	1.117273913
104	1.112917551
105	1.109890856
106	1.105209984
107	1.102337324
108	1.098944579
109	1.095129869
110	1.091263517
111	1.087211574
112	1.08373685
113	1.080345992
114	1.075735942
115	1.072081743
116	1.069655634
117	1.065083521
118	1.062887542
119	1.058779732
120	1.055685442
121	1.052670477
122	1.049399241
123	1.046687958
124	1.043404042
125	1.039567174
126	1.037130899
127	1.033335881
128	1.031091674
129	1.028673848
130	1.026082641
131	1.022971053
132	1.019124381
133	1.016308797
134	1.014302135
135	1.010956792
136	1.009187879
137	1.006920321
138	1.005450533
139	1.002736856
140	0.9998444737
141	0.9982180674
142	0.9947103227
143	0.9915740135
144	0.9886654738
145	0.986083863
146	0.9837077871
147	0.9809630331
148	0.9785310124
149	0.9766243084
150	0.9752852745
151	0.973885223
152	0.9714439385
153	0.9692316393
154	0.9672237746
155	0.9653960208
156	0.9630072872
157	0.9606878718
158	0.9579643899
159	0.9554403796
160	0.9524295002
161	0.9497493826
162	0.9472146884
163	0.944557407
164	0.9415330198
165	0.9394506339
166	0.9377839503
167	0.935913286
168	0.9332518342
169	0.9308044782
170	0.9273889158
171	0.9252163999
172	0.9243184044
173	0.9220853108
174	0.9195471032
175	0.9168210614
176	0.9144631452
177	0.9116556663
178	0.9095908538
179	0.907142903
180	0.9063989799
181	0.9036919293
182	0.9019749784
183	0.9010991976
184	0.8977433754
185	0.8955620038
186	0.8928323033
187	0.8896410635
188	0.8861935109
189	0.8841934954
190	0.8821112869
191	0.8797313641
192	0.8772320465
193	0.8754188715
194	0.8741303545
195	0.8716533768
196	0.8703468548
197	0.8683024671
198	0.8661047679
199	0.8648641022
