iter	Passed	Remaining
0	257	112186
1	463	100759
2	698	101029
3	914	98953
4	1127	97414
5	1363	97960
6	1576	96854
7	1810	97070
8	2045	97292
9	2274	97120
10	2481	96099
11	2708	95935
12	2915	95088
13	3123	94385
14	3346	94157
15	3548	93367
16	3752	92712
17	3954	92060
18	4178	91928
19	4388	91504
20	4595	91043
21	4801	90574
22	5008	90150
23	5212	89706
24	5444	89718
25	5668	89607
26	5896	89542
27	6106	89194
28	6335	89134
29	6543	88768
30	6748	88377
31	6950	87967
32	7172	87809
33	7377	87441
34	7578	87047
35	7803	86924
36	8024	86755
37	8229	86408
38	8429	86019
39	8653	85885
40	8858	85556
41	9084	85434
42	9292	85145
43	9519	85030
44	9729	84755
45	9935	84452
46	10146	84193
47	10352	83895
48	10583	83807
49	10795	83559
50	11028	83470
51	11240	83222
52	11472	83120
53	11695	82948
54	11899	82650
55	12100	82329
56	12326	82176
57	12549	82005
58	12756	81727
59	12961	81443
60	13163	81138
61	13387	80972
62	13616	80834
63	13841	80668
64	14045	80380
65	14249	80098
66	14473	79927
67	14687	79699
68	14914	79543
69	15125	79303
70	15353	79147
71	15563	78900
72	15790	78734
73	16017	78574
74	16227	78325
75	16436	78073
76	16637	77787
77	16857	77586
78	17060	77313
79	17287	77145
80	17490	76872
81	17700	76631
82	17925	76455
83	18133	76205
84	18359	76030
85	18583	75846
86	18787	75583
87	18996	75336
88	19205	75096
89	19415	74858
90	19619	74598
91	19829	74361
92	20035	74110
93	20245	73873
94	20469	73689
95	20679	73456
96	20889	73220
97	21098	72984
98	21326	72813
99	21529	72554
100	21752	72363
101	21972	72165
102	22179	71920
103	22406	71742
104	22628	71550
105	22851	71357
106	23059	71116
107	23281	70921
108	23483	70664
109	23706	70472
110	23931	70286
111	24140	70051
112	24364	69859
113	24569	69612
114	24774	69369
115	25002	69188
116	25231	69008
117	25468	68851
118	25678	68618
119	25907	68440
120	26121	68219
121	26335	67998
122	26558	67798
123	26769	67571
124	26998	67388
125	27226	67201
126	27448	66999
127	27652	66753
128	27872	66548
129	28098	66355
130	28297	66099
131	28499	65852
132	28718	65642
133	28923	65400
134	29149	65208
135	29378	65021
136	29604	64826
137	29835	64642
138	30044	64411
139	30250	64173
140	30461	63946
141	30687	63752
142	30916	63562
143	31147	63375
144	31372	63178
145	31600	62983
146	31805	62744
147	32010	62506
148	32216	62270
149	32417	62025
150	32639	61819
151	32845	61584
152	33052	61352
153	33276	61151
154	33499	60948
155	33724	60746
156	33946	60541
157	34173	60345
158	34401	60147
159	34607	59914
160	34836	59720
161	35071	59534
162	35302	59342
163	35514	59119
164	35726	58893
165	35952	58693
166	36165	58470
167	36395	58276
168	36633	58093
169	36834	57852
170	37041	57619
171	37242	57380
172	37455	57157
173	37681	56956
174	37888	56724
175	38109	56514
176	38314	56281
177	38522	56051
178	38727	55819
179	38950	55612
180	39180	55415
181	39410	55218
182	39615	54985
183	39842	54783
184	40046	54549
185	40252	54319
186	40458	54089
187	40668	53863
188	40877	53638
189	41089	53416
190	41320	53219
191	41528	52992
192	41737	52767
193	41944	52539
194	42170	52334
195	42398	52132
196	42646	51955
197	42873	51750
198	43080	51523
199	43287	51296
200	43490	51063
201	43719	50861
202	43922	50629
203	44127	50400
204	44338	50178
205	44565	49973
206	44770	49744
207	44977	49518
208	45206	49315
209	45432	49109
210	45638	48882
211	45863	48676
212	46095	48475
213	46304	48252
214	46529	48044
215	46734	47816
216	46956	47605
217	47184	47400
218	47423	47206
219	47629	46979
220	47830	46748
221	48051	46536
222	48275	46327
223	48480	46099
224	48701	45887
225	48905	45659
226	49132	45452
227	49337	45226
228	49561	45016
229	49787	44808
230	50011	44599
231	50220	44375
232	50429	44152
233	50654	43944
234	50881	43736
235	51102	43523
236	51344	43329
237	51546	43100
238	51765	42885
239	52027	42706
240	52234	42480
241	52441	42256
242	52669	42048
243	52894	41838
244	53120	41629
245	53340	41415
246	53567	41205
247	53788	40991
248	53996	40768
249	54224	40560
250	54433	40337
251	54657	40125
252	54886	39917
253	55095	39694
254	55327	39488
255	55553	39277
256	55759	39053
257	55965	38828
258	56174	38606
259	56379	38381
260	56585	38157
261	56809	37945
262	57036	37734
263	57237	37508
264	57440	37281
265	57647	37059
266	57849	36833
267	58055	36609
268	58280	36398
269	58503	36185
270	58724	35971
271	58928	35746
272	59152	35534
273	59377	35323
274	59605	35112
275	59815	34892
276	60020	34668
277	60226	34445
278	60433	34224
279	60639	34001
280	60851	33782
281	61063	33563
282	61293	33354
283	61521	33143
284	61721	32918
285	61942	32703
286	62147	32481
287	62371	32268
288	62593	32054
289	62799	31832
290	63026	31621
291	63248	31407
292	63470	31193
293	63690	30978
294	63897	30757
295	64132	30549
296	64357	30336
297	64583	30124
298	64807	29911
299	65045	29704
300	65273	29492
301	65502	29281
302	65716	29062
303	65961	28858
304	66192	28647
305	66427	28437
306	66654	28225
307	66900	28019
308	67141	27812
309	67381	27604
310	67589	27383
311	67818	27170
312	68043	26956
313	68258	26738
314	68493	26527
315	68716	26312
316	68932	26094
317	69165	25882
318	69371	25660
319	69580	25440
320	69810	25227
321	70034	25012
322	70268	24800
323	70500	24587
324	70706	24366
325	70939	24154
326	71151	23934
327	71378	23720
328	71589	23500
329	71796	23279
330	71999	23057
331	72221	22841
332	72445	22625
333	72649	22403
334	72875	22189
335	73078	21966
336	73280	21744
337	73507	21530
338	73729	21314
339	73954	21098
340	74157	20877
341	74383	20662
342	74597	20443
343	74826	20229
344	75032	20008
345	75238	19788
346	75449	19569
347	75658	19349
348	75885	19134
349	76118	18920
350	76353	18707
351	76582	18492
352	76809	18277
353	77036	18062
354	77243	17842
355	77453	17622
356	77656	17402
357	77886	17187
358	78088	16966
359	78293	16746
360	78493	16524
361	78695	16304
362	78919	16088
363	79141	15871
364	79368	15656
365	79593	15440
366	79800	15220
367	80007	15001
368	80233	14785
369	80436	14565
370	80659	14349
371	80886	14133
372	81093	13914
373	81320	13698
374	81540	13481
375	81739	13260
376	81959	13043
377	82157	12823
378	82363	12604
379	82583	12387
380	82782	12167
381	83007	11951
382	83209	11731
383	83408	11512
384	83611	11293
385	83832	11076
386	84034	10857
387	84234	10637
388	84459	10421
389	84678	10204
390	84906	9989
391	85129	9772
392	85350	9555
393	85577	9339
394	85801	9123
395	86006	8904
396	86210	8686
397	86417	8468
398	86634	8250
399	86854	8034
400	87054	7815
401	87254	7596
402	87475	7380
403	87697	7163
404	87916	6946
405	88115	6728
406	88333	6511
407	88537	6293
408	88755	6076
409	88976	5859
410	89202	5642
411	89407	5425
412	89608	5207
413	89831	4990
414	90052	4773
415	90262	4556
416	90485	4339
417	90715	4123
418	90939	3906
419	91162	3689
420	91388	3473
421	91607	3256
422	91828	3039
423	92051	2822
424	92253	2604
425	92455	2387
426	92656	2169
427	92856	1952
428	93081	1735
429	93281	1518
430	93484	1301
431	93708	1084
432	93943	867
433	94148	650
