iter	Passed	Remaining
0	57	10353
1	107	9713
2	157	9385
3	212	9438
4	268	9516
5	318	9352
6	373	9338
7	422	9184
8	473	9095
9	539	9277
10	596	9278
11	659	9345
12	715	9295
13	773	9285
14	838	9330
15	898	9319
16	957	9293
17	1010	9210
18	1065	9138
19	1118	9063
20	1175	9011
21	1228	8931
22	1282	8862
23	1334	8788
24	1388	8720
25	1447	8686
26	1508	8661
27	1566	8614
28	1622	8559
29	1676	8493
30	1731	8435
31	1784	8364
32	1844	8329
33	1896	8256
34	1949	8186
35	2005	8133
36	2062	8084
37	2123	8045
38	2186	8018
39	2245	7972
40	2302	7917
41	2356	7855
42	2411	7795
43	2468	7741
44	2532	7711
45	2590	7657
46	2646	7603
47	2705	7551
48	2756	7480
49	2810	7420
50	2863	7354
51	2917	7293
52	2977	7248
53	3040	7206
54	3095	7148
55	3149	7086
56	3204	7027
57	3259	6969
58	3311	6904
59	3366	6845
60	3419	6783
61	3471	6719
62	3526	6661
63	3578	6598
64	3635	6543
65	3697	6497
66	3754	6443
67	3808	6384
68	3861	6323
69	3915	6265
70	3969	6206
71	4026	6152
72	4084	6098
73	4143	6047
74	4200	5992
75	4256	5937
76	4309	5877
77	4368	5824
78	4418	5761
79	4470	5700
80	4525	5642
81	4578	5583
82	4632	5525
83	4686	5467
84	4742	5411
85	4797	5355
86	4853	5300
87	4908	5242
88	4960	5183
89	5013	5125
90	5066	5066
91	5133	5022
92	5193	4970
93	5247	4912
94	5300	4853
95	5355	4797
96	5416	4746
97	5467	4686
98	5522	4630
99	5575	4572
100	5631	4516
101	5684	4458
102	5740	4402
103	5794	4345
104	5848	4289
105	5902	4231
106	5955	4174
107	6009	4117
108	6065	4062
109	6119	4005
110	6172	3948
111	6226	3891
112	6286	3838
113	6350	3787
114	6410	3734
115	6471	3681
116	6524	3624
117	6576	3566
118	6629	3509
119	6682	3452
120	6733	3394
121	6786	3337
122	6837	3279
123	6888	3222
124	6940	3164
125	7003	3112
126	7054	3055
127	7108	2998
128	7158	2941
129	7210	2884
130	7261	2827
131	7316	2771
132	7369	2714
133	7419	2657
134	7472	2601
135	7526	2545
136	7583	2491
137	7640	2436
138	7693	2379
139	7748	2324
140	7800	2268
141	7852	2211
142	7905	2156
143	7962	2101
144	8022	2047
145	8079	1992
146	8142	1938
147	8198	1883
148	8254	1828
149	8316	1774
150	8372	1718
151	8429	1663
152	8482	1607
153	8538	1552
154	8589	1496
155	8645	1440
156	8697	1384
157	8756	1330
158	8811	1274
159	8864	1218
160	8917	1163
161	8969	1107
162	9021	1051
163	9079	996
164	9137	941
165	9195	886
166	9252	831
167	9306	775
168	9357	719
169	9410	664
170	9465	608
171	9516	553
172	9575	498
173	9627	442
174	9679	387
175	9740	332
176	9799	276
177	9856	221
178	9916	166
179	9972	110
180	10024	55
181	10077	0
