iter	RMSE
0	3.363440531
1	3.327082823
2	3.257584253
3	3.204457968
4	3.157581225
5	3.106570746
6	3.05757961
7	3.007280532
8	2.965352088
9	2.931535427
10	2.897248802
11	2.848650761
12	2.802985016
13	2.753512092
14	2.720780006
15	2.688464791
16	2.645159166
17	2.598274565
18	2.563321507
19	2.536884476
20	2.498309483
21	2.464997609
22	2.430645068
23	2.385025822
24	2.3515788
25	2.322672587
26	2.286715564
27	2.256940175
28	2.231234098
29	2.198991242
30	2.175300011
31	2.15419245
32	2.106490256
33	2.087963157
34	2.057766038
35	2.033447329
36	2.005630234
37	1.979408655
38	1.955982074
39	1.929320959
40	1.907872333
41	1.88056356
42	1.861168782
43	1.837953883
44	1.813764858
45	1.79017747
46	1.761591806
47	1.742610761
48	1.720856018
49	1.702476794
50	1.68410543
51	1.65698246
52	1.636842943
53	1.608706193
54	1.586932376
55	1.564515535
56	1.542598063
57	1.524090081
58	1.506052807
59	1.48222374
60	1.467683134
61	1.452107361
62	1.440547605
63	1.425344459
64	1.412002362
65	1.395160739
66	1.38278983
67	1.37082676
68	1.352076165
69	1.339559439
70	1.329028965
71	1.314029202
72	1.298841594
73	1.289360738
74	1.278185893
75	1.268488801
76	1.257414911
77	1.24602463
78	1.237359601
79	1.226311606
80	1.21395953
81	1.201800185
82	1.190513793
83	1.181214202
84	1.168701546
85	1.15850107
86	1.146946019
87	1.136022628
88	1.126231311
89	1.115136495
90	1.105378277
91	1.09282143
92	1.083731771
93	1.076157869
94	1.06774577
95	1.060394175
96	1.049913792
97	1.040292619
98	1.0309393
99	1.022388441
100	1.014996501
101	1.007171797
102	0.9998545879
103	0.9918971959
104	0.9849646903
105	0.9787317457
106	0.9721004054
107	0.9632416143
108	0.9566938625
109	0.9506976124
110	0.9419154196
111	0.9342730111
112	0.9254216728
113	0.9181438614
114	0.9104522998
115	0.9027458881
116	0.8963862241
117	0.8904987774
118	0.8847921038
119	0.8788324545
120	0.8732867885
121	0.8648854935
122	0.8591723352
123	0.8533170242
124	0.8475130982
125	0.8417123811
126	0.8371529111
127	0.8320585078
128	0.8259380188
129	0.8199475794
130	0.8143679815
131	0.8085391963
132	0.8023765442
133	0.7974753961
134	0.7919961536
135	0.7875093841
136	0.7812805632
137	0.7758539488
138	0.7710122874
139	0.7656663779
140	0.7604753412
141	0.7558892834
142	0.7517604312
143	0.7475162735
144	0.7429950602
145	0.7378976762
146	0.7329661343
147	0.7282989907
148	0.7237826575
149	0.7188373805
150	0.7138116058
151	0.7096871162
152	0.7050388539
153	0.7005736557
154	0.6963493022
155	0.6912844976
156	0.6869907182
157	0.683329075
158	0.6785237039
159	0.6744165342
160	0.6686266908
161	0.6641839626
162	0.6603955504
163	0.6553119091
164	0.6506840976
165	0.6465413996
166	0.6422044493
167	0.6377633194
168	0.6337645511
169	0.6295010868
170	0.6253508342
171	0.6207707814
172	0.6167993675
173	0.6128713848
174	0.6088894551
175	0.6050988974
176	0.6005070651
177	0.5965705638
178	0.592234674
179	0.5882510542
180	0.5837238333
181	0.5791063587
182	0.5752009261
183	0.5713268514
184	0.5673448428
185	0.5638872144
186	0.5598077687
187	0.5566582153
188	0.5520663963
189	0.5477617433
190	0.5435908966
191	0.5404291746
192	0.5363271743
193	0.5323441111
194	0.528889553
195	0.5249270239
196	0.5213224957
197	0.5177388377
198	0.5141356992
199	0.5110282531
200	0.5076011052
201	0.504633544
202	0.5009866402
203	0.4964827429
204	0.4925456935
205	0.4887348433
206	0.4849562087
207	0.4815394264
208	0.4784939984
209	0.4747252879
210	0.4715308039
211	0.4685935181
212	0.4656114988
213	0.4624543459
214	0.4599151589
215	0.4569247599
216	0.4536413019
217	0.4506847074
218	0.4479333351
219	0.4451102684
220	0.4420039569
221	0.438398145
222	0.4353470842
223	0.4326872026
224	0.4294628878
225	0.4263691708
226	0.4237482883
227	0.4212890973
228	0.4178816941
229	0.4150506556
230	0.4124606821
231	0.4097442762
232	0.4073962263
233	0.4050020662
234	0.4021434108
235	0.3995241341
236	0.3969102658
237	0.3938808882
238	0.3908357309
239	0.38816197
240	0.385651171
241	0.3829087522
242	0.3800571902
243	0.3777126646
244	0.3751013215
245	0.3723968079
246	0.3701104742
247	0.367484365
248	0.3647038944
249	0.3623359332
250	0.359909308
251	0.3574882758
252	0.3552894822
253	0.3525322868
254	0.3503498613
255	0.3480370471
256	0.3455295457
257	0.3426442727
258	0.3404334036
259	0.3378256542
260	0.3356474331
261	0.3335567047
262	0.3307068695
263	0.3282662982
264	0.3261927563
265	0.3239758754
266	0.3219846453
267	0.3192353065
268	0.3170196613
269	0.3149362051
270	0.3132204875
271	0.3111836784
272	0.3090897326
273	0.3070048915
274	0.3051025296
275	0.3028184654
276	0.3001734911
277	0.2981998066
278	0.2962042408
279	0.2940421077
280	0.2920432297
281	0.2900046223
282	0.2882149683
283	0.2864484559
284	0.2844039816
285	0.2826278847
286	0.2808750765
287	0.2789284359
288	0.2768088372
289	0.2752481146
290	0.273656006
291	0.27197082
292	0.2702864653
293	0.2687247933
294	0.2671759554
295	0.2655081813
296	0.2634636454
297	0.2614536666
298	0.2597193891
299	0.2580659585
300	0.2565190246
301	0.2550693402
