iter	Passed	Remaining
0	302	131893
1	530	115277
2	751	108754
3	957	103608
4	1166	100799
5	1406	101027
6	1640	100774
7	1887	101206
8	2136	101616
9	2368	101118
10	2574	99711
11	2801	99207
12	3012	98247
13	3245	98060
14	3471	97654
15	3708	97568
16	3933	97181
17	4164	96949
18	4393	96652
19	4630	96547
20	4844	95971
21	5051	95281
22	5275	94960
23	5477	94261
24	5705	94020
25	5930	93743
26	6163	93586
27	6376	93137
28	6592	92748
29	6810	92390
30	7046	92291
31	7256	91843
32	7465	91399
33	7680	91033
34	7887	90593
35	8116	90403
36	8320	89947
37	8544	89718
38	8749	89286
39	8957	88904
40	9167	88541
41	9396	88371
42	9601	87980
43	9826	87771
44	10031	87386
45	10234	86996
46	10461	86804
47	10665	86435
48	10895	86273
49	11100	85915
50	11330	85756
51	11557	85569
52	11787	85406
53	11997	85091
54	12206	84781
55	12414	84465
56	12647	84318
57	12856	84011
58	13064	83701
59	13270	83383
60	13498	83206
61	13719	82982
62	13943	82772
63	14173	82603
64	14385	82328
65	14592	82028
66	14825	81872
67	15036	81597
68	15275	81466
69	15514	81339
70	15756	81225
71	15973	80978
72	16182	80692
73	16413	80517
74	16644	80337
75	16879	80179
76	17107	79985
77	17336	79792
78	17566	79604
79	17777	79332
80	18008	79147
81	18223	78892
82	18454	78710
83	18682	78511
84	18909	78306
85	19134	78094
86	19341	77809
87	19544	77513
88	19769	77300
89	19976	77018
90	20198	76799
91	20405	76519
92	20609	76234
93	20816	75958
94	21021	75675
95	21228	75406
96	21460	75223
97	21692	75037
98	21898	74764
99	22125	74562
100	22356	74373
101	22570	74129
102	22782	73875
103	23013	73687
104	23061	72918
105	23276	72682
106	23510	72507
107	23749	72348
108	23976	72149
109	24219	71997
110	24456	71826
111	24675	71603
112	24919	71451
113	25153	71267
114	25384	71075
115	25616	70887
116	25850	70701
117	26078	70500
118	26306	70297
119	26530	70083
120	26743	69843
121	26981	69664
122	27203	69446
123	27435	69253
124	27668	69061
125	27878	68812
126	28111	68619
127	28340	68415
128	28579	68236
129	28796	68004
130	29004	67750
131	29212	67499
132	29434	67277
133	29635	67011
134	29839	66751
135	30044	66494
136	30264	66271
137	30466	66011
138	30669	65752
139	30873	65495
140	31118	65326
141	31343	65115
142	31578	64923
143	31808	64721
144	32035	64512
145	32246	64273
146	32477	64070
147	32702	63857
148	32909	63609
149	33113	63357
150	33313	63097
151	33531	62870
152	33731	62612
153	33954	62396
154	34177	62180
155	34379	61926
156	34580	61671
157	34803	61456
158	35003	61201
159	35203	60945
160	35431	60738
161	35652	60521
162	35876	60306
163	36080	60060
164	36283	59812
165	36510	59604
166	36715	59360
167	36938	59145
168	37143	58901
169	37367	58688
170	37575	58450
171	37804	58244
172	38011	58005
173	38215	57762
174	38447	57561
175	38651	57318
176	38854	57074
177	39080	56864
178	39300	56645
179	39509	56410
180	39734	56199
181	39934	55951
182	40157	55737
183	40366	55504
184	40586	55284
185	40812	55075
186	41035	54860
187	41259	54646
188	41485	54436
189	41714	54229
190	41922	53994
191	42146	53781
192	42371	53568
193	42598	53357
194	42824	53146
195	43048	52932
196	43250	52691
197	43453	52451
198	43676	52236
199	43895	52015
200	44120	51802
201	44319	51559
202	44538	51340
203	44737	51097
204	44956	50877
205	45179	50662
206	45377	50419
207	45602	50206
208	45808	49972
209	46007	49731
210	46232	49518
211	46460	49309
212	46664	49074
213	46888	48859
214	47095	48628
215	47323	48418
216	47547	48204
217	47774	47993
218	47977	47758
219	48200	47543
220	48422	47326
221	48629	47096
222	48847	46876
223	49072	46663
224	49276	46429
225	49515	46228
226	49741	46016
227	49974	45809
228	50197	45594
229	50447	45402
230	50649	45167
231	50853	44935
232	51068	44712
233	51309	44512
234	51541	44303
235	51744	44070
236	51966	43853
237	52172	43622
238	52379	43393
239	52583	43162
240	52807	42947
241	53008	42713
242	53207	42478
243	53429	42261
244	53628	42027
245	53848	41808
246	54055	41581
247	54267	41357
248	54488	41139
249	54708	40921
250	54926	40702
251	55126	40470
252	55348	40253
253	55570	40036
254	55805	39829
255	56010	39600
256	56211	39370
257	56417	39142
258	56646	38930
259	56868	38714
260	57095	38501
261	57301	38274
262	57503	38044
263	57730	37831
264	57954	37616
265	58157	37387
266	58382	37172
267	58605	36956
268	58806	36726
269	59006	36496
270	59207	36267
271	59407	36037
272	59626	35819
273	59846	35601
274	60069	35386
275	60273	35159
276	60471	34929
277	60693	34712
278	60895	34485
279	61105	34262
280	61318	34041
281	61545	33828
282	61778	33618
283	61985	33393
284	62211	33179
285	62415	32953
286	62643	32740
287	62852	32517
288	63071	32299
289	63291	32082
290	63510	31864
291	63732	31647
292	63953	31430
293	64155	31204
294	64377	30988
295	64595	30770
296	64819	30554
297	65022	30329
298	65245	30113
299	65464	29895
300	65686	29679
301	65886	29452
302	66086	29226
303	66288	29001
304	66496	28778
305	66723	28564
306	66950	28350
307	67153	28125
308	67381	27912
309	67603	27695
310	67831	27481
311	68032	27256
312	68236	27032
313	68453	26814
314	68661	26592
315	68896	26381
316	69102	26158
317	69303	25934
318	69504	25709
319	69729	25494
320	69963	25282
321	70192	25068
322	70417	24853
323	70645	24638
324	70851	24416
325	71081	24202
326	71303	23985
327	71533	23771
328	71757	23555
329	71983	23339
330	72193	23119
331	72403	22898
332	72632	22684
333	72859	22468
334	73079	22251
335	73282	22028
336	73486	21805
337	73706	21588
338	73910	21366
339	74134	21150
340	74339	20928
341	74559	20711
342	74778	20493
343	74979	20270
344	75198	20052
345	75416	19834
346	75642	19619
347	75844	19397
348	76050	19175
349	76257	18955
350	76485	18739
351	76698	18520
352	76924	18304
353	77129	18084
354	77355	17868
355	77562	17647
356	77791	17432
357	78010	17214
358	78217	16994
359	78436	16776
360	78640	16555
361	78866	16339
362	79088	16122
363	79310	15905
364	79514	15685
365	79714	15463
366	79916	15243
367	80135	15025
368	80337	14804
369	80559	14587
370	80763	14367
371	80964	14146
372	81185	13930
373	81412	13713
374	81621	13494
375	81844	13277
376	82049	13058
377	82273	12841
378	82497	12624
379	82724	12408
380	82933	12189
381	83159	11973
382	83377	11755
383	83577	11535
384	83798	11318
385	84005	11099
386	84211	10880
387	84430	10662
388	84651	10445
389	84873	10228
390	85072	10008
391	85290	9790
392	85512	9573
393	85718	9355
394	85919	9135
395	86121	8916
396	86345	8699
397	86571	8483
398	86803	8266
399	87024	8049
400	87253	7833
401	87460	7614
402	87668	7396
403	87890	7179
404	88111	6961
405	88330	6744
406	88529	6525
407	88728	6306
408	88949	6089
409	89151	5870
410	89355	5652
411	89580	5435
412	89780	5217
413	89983	4999
414	90187	4781
415	90387	4562
416	90597	4345
417	90800	4127
418	91021	3910
419	91246	3693
420	91471	3476
421	91679	3258
422	91886	3041
423	92091	2823
424	92301	2606
425	92511	2388
426	92716	2171
427	92920	1953
428	93144	1736
429	93342	1519
430	93546	1302
431	93765	1085
432	93969	868
433	94190	651
434	94390	433
435	94612	217
436	94841	0
