iter	RMSE
0	3.314677261
1	3.281634134
2	3.217840429
3	3.160392181
4	3.128361512
5	3.084812648
6	3.032233645
7	2.991847747
8	2.946996635
9	2.914731883
10	2.883865895
11	2.836761835
12	2.792697474
13	2.742966866
14	2.710485848
15	2.679144144
16	2.636187037
17	2.590232336
18	2.558079632
19	2.522137933
20	2.471040964
21	2.439151186
22	2.400772724
23	2.357667794
24	2.317238134
25	2.284108343
26	2.249894567
27	2.213723817
28	2.176162077
29	2.151665585
30	2.122907557
31	2.102171546
32	2.060079617
33	2.039939394
34	2.01159349
35	1.982715325
36	1.952669569
37	1.93265221
38	1.908450932
39	1.885387727
40	1.861986148
41	1.840969444
42	1.820341717
43	1.800408527
44	1.778967093
45	1.759230742
46	1.730151295
47	1.715990451
48	1.694244185
49	1.6745557
50	1.656649217
51	1.638190833
52	1.618749202
53	1.592385907
54	1.573290241
55	1.553228843
56	1.533157596
57	1.520556167
58	1.502900253
59	1.484147071
60	1.466666474
61	1.45148833
62	1.436530186
63	1.422067961
64	1.408418354
65	1.398016861
66	1.383983381
67	1.370995183
68	1.353312597
69	1.337473612
70	1.325694678
71	1.308816592
72	1.297992622
73	1.288132524
74	1.278698808
75	1.268893528
76	1.259558578
77	1.246127842
78	1.231864029
79	1.221878188
80	1.21313693
81	1.202000822
82	1.192908315
83	1.183727598
84	1.170825202
85	1.162665879
86	1.15187958
87	1.144157285
88	1.13349842
89	1.123045236
90	1.112528379
91	1.103131275
92	1.092569098
93	1.084481502
94	1.074725291
95	1.067227726
96	1.054316993
97	1.046712127
98	1.0388755
99	1.031657145
100	1.024679818
101	1.01740448
102	1.010398206
103	1.003024193
104	0.9920331597
105	0.9813378893
106	0.975288407
107	0.9683693446
108	0.960883281
109	0.9535275809
110	0.9468664605
111	0.9402681762
112	0.9337828713
113	0.9278835913
114	0.9215173706
115	0.9154180525
116	0.907827834
117	0.9017742037
118	0.8953679569
119	0.8889862182
120	0.8834128845
121	0.8773419643
122	0.8714552438
123	0.8660232468
124	0.8602324693
125	0.8543887325
126	0.8501947316
127	0.8429469837
128	0.837544871
129	0.8322546411
130	0.8252915786
131	0.8178039729
