Participant,Stimulus,Epoch,Fz_abs_fft_5,F4_abs_fft_5,F8_abs_fft_5,C3_abs_fft_5,Cz_abs_fft_5,C4_abs_fft_5,T8_abs_fft_5,P7_abs_fft_5,P3_abs_fft_5,P4_abs_fft_5,P8_abs_fft_5,PO7_abs_fft_5,PO8_abs_fft_5,O1_abs_fft_5,Oz_abs_fft_5,O2_abs_fft_5,Fz_abs_fft_10,F4_abs_fft_10,F8_abs_fft_10,C3_abs_fft_10,Cz_abs_fft_10,C4_abs_fft_10,T8_abs_fft_10,P7_abs_fft_10,P3_abs_fft_10,P4_abs_fft_10,P8_abs_fft_10,PO7_abs_fft_10,PO8_abs_fft_10,O1_abs_fft_10,Oz_abs_fft_10,O2_abs_fft_10,Fz_abs_fft_20,F4_abs_fft_20,F8_abs_fft_20,C3_abs_fft_20,Cz_abs_fft_20,C4_abs_fft_20,T8_abs_fft_20,P7_abs_fft_20,P3_abs_fft_20,P4_abs_fft_20,P8_abs_fft_20,PO7_abs_fft_20,PO8_abs_fft_20,O1_abs_fft_20,Oz_abs_fft_20,O2_abs_fft_20,Fz_abs_fft_30,F4_abs_fft_30,F8_abs_fft_30,C3_abs_fft_30,Cz_abs_fft_30,C4_abs_fft_30,T8_abs_fft_30,P7_abs_fft_30,P3_abs_fft_30,P4_abs_fft_30,P8_abs_fft_30,PO7_abs_fft_30,PO8_abs_fft_30,O1_abs_fft_30,Oz_abs_fft_30,O2_abs_fft_30,Fz_norm_fft_5,F4_norm_fft_5,F8_norm_fft_5,C3_norm_fft_5,Cz_norm_fft_5,C4_norm_fft_5,T8_norm_fft_5,P7_norm_fft_5,P3_norm_fft_5,P4_norm_fft_5,P8_norm_fft_5,PO7_norm_fft_5,PO8_norm_fft_5,O1_norm_fft_5,Oz_norm_fft_5,O2_norm_fft_5,Fz_norm_fft_10,F4_norm_fft_10,F8_norm_fft_10,C3_norm_fft_10,Cz_norm_fft_10,C4_norm_fft_10,T8_norm_fft_10,P7_norm_fft_10,P3_norm_fft_10,P4_norm_fft_10,P8_norm_fft_10,PO7_norm_fft_10,PO8_norm_fft_10,O1_norm_fft_10,Oz_norm_fft_10,O2_norm_fft_10,Fz_norm_fft_20,F4_norm_fft_20,F8_norm_fft_20,C3_norm_fft_20,Cz_norm_fft_20,C4_norm_fft_20,T8_norm_fft_20,P7_norm_fft_20,P3_norm_fft_20,P4_norm_fft_20,P8_norm_fft_20,PO7_norm_fft_20,PO8_norm_fft_20,O1_norm_fft_20,Oz_norm_fft_20,O2_norm_fft_20,Fz_norm_fft_30,F4_norm_fft_30,F8_norm_fft_30,C3_norm_fft_30,Cz_norm_fft_30,C4_norm_fft_30,T8_norm_fft_30,P7_norm_fft_30,P3_norm_fft_30,P4_norm_fft_30,P8_norm_fft_30,PO7_norm_fft_30,PO8_norm_fft_30,O1_norm_fft_30,Oz_norm_fft_30,O2_norm_fft_30
sub-P001,Contrast1Size1,0,943.0020013175102,1022.2518309879753,684.3623654460272,1709.7753578115808,1470.3739005551474,751.7043223931271,278.18963699058554,1156.8367149668222,1374.474174691811,729.4121804766573,532.180038918622,723.8661905072953,524.2432047177192,516.50753312061,339.8777524236783,714.9441223446764,1560.4914406306048,1234.0521471719812,705.2975573907164,4416.937749529215,1856.139182585654,2921.6143335654356,1889.6994830377987,3078.6926942467926,3666.530272141552,1352.4674040998148,1480.9277514420664,2585.38859968692,2008.162358235252,3305.073667218596,3228.422323387737,3676.3218366200326,429.48777620906,610.2087420395856,239.14384449617725,386.74868386836766,413.0222724177065,755.3443728266681,171.9198268980691,68.9359357098973,104.77733439212935,451.3460998526757,389.90318808413934,342.4719425020755,839.3746360595801,554.6536791500738,843.3873891465172,1012.1306685787104,132.54543384501997,27.7395725322559,90.71074105454566,128.89447306918203,215.3974628725383,162.73923068886958,160.6313880090658,326.9036320042613,163.72653368547566,116.86076595033498,161.21146788784193,440.09383420014285,540.420291610179,570.5787733543889,656.8521081599728,611.0927334443307,0.006026112497876675,0.006760310778730844,0.005531302411011071,0.013609966216154075,0.01323356868498196,0.00622910080348234,0.0035475666175965636,0.011668101281618767,0.013073225510966112,0.007679799834393903,0.006756395904122452,0.007258808670300032,0.005157986727588388,0.004953709194251753,0.0028698339359385762,0.006696375535663119,0.00997208591294116,0.008160979299963534,0.00570050937434718,0.03515922327181703,0.01670550963422263,0.02421035725155805,0.02409807524045638,0.031052349658941786,0.03487397433366708,0.014239793664045214,0.01880140828745828,0.02592584296601864,0.01975814793097294,0.0316982285119102,0.0272599070610846,0.034433504435606895,0.0027445770552794887,0.004035405573300972,0.0019328604120100229,0.0030785544414020007,0.0037172576365803443,0.006259264579856674,0.002192378714765747,0.0006953025171139301,0.0009965830905868773,0.00475211107749501,0.004950092281418308,0.0034342511615667254,0.008258539535292356,0.005319560420408604,0.007121330340851954,0.009479911556916513,0.0008470116652075122,0.00018344611914850313,0.0007331620878547276,0.0010260116429364687,0.0019386069886158717,0.0013485609200900397,0.0020484247939776693,0.00329721959737779,0.0015572747283367095,0.001230398004055881,0.0020466917615854794,0.004413187107411098,0.005317151784438826,0.005472294466904727,0.005546277911536994,0.005723673084881037
sub-P001,Contrast1Size1,1,2131.1963498194145,2190.9470648788906,1809.042550666657,1524.3092899986977,1425.0913483242841,982.902094904233,1079.014591210154,264.91924371341156,1046.4797799771834,659.5373850815412,48.7694146711688,481.51670413861154,444.5787621391938,462.8795086533994,621.7618068022324,401.3166638273397,128.82003358717327,510.8593561898778,700.3753596268988,387.0360120606505,494.8346083160864,1682.4900569627796,1512.6570727479252,1450.3065823122242,959.8697958080132,1031.9939354644007,338.9351829284339,2126.2415334608895,1709.0018849889254,3694.186375268245,2929.9372067170293,3995.225978494995,55.17002411873671,133.95361056535043,237.33473763380002,19.237510082092385,76.73287209929306,128.12002552102888,194.88031420005896,152.7752737270842,220.5188194592014,384.59626135472405,413.2155069516633,302.9384463933357,1057.6912871757563,540.1944353862204,1534.8022388921393,1310.8909980550725,293.82062867412606,295.3406404318445,197.71432843669544,182.22964798304548,238.94563507498978,178.28413107909077,124.16737672596483,220.02762587840337,140.89581782072983,165.10200760826842,93.16511403807056,296.85720705411956,352.9353313714861,413.3256339077211,633.2535413797933,619.6825365961957,0.015699234953611692,0.01592587546604459,0.014934501734204192,0.017041772875182187,0.015098197165567602,0.010255589137546072,0.015622082955581231,0.0035132359833045046,0.013145631423870681,0.008543694801225209,0.0006578446253384211,0.005341552690918912,0.0043719815547562805,0.004952191123965513,0.005286363100094303,0.004181080740203316,0.000948939300777494,0.003713408971746854,0.0057819297943474245,0.004327061348592526,0.005242548479076595,0.017555081876082432,0.021900402891968217,0.01923329238141236,0.012057657292597921,0.013368523787674384,0.004571854920362144,0.02358678543648647,0.016806301502715424,0.03952284911271883,0.024911005735205712,0.04162389428870606,0.0004064042110009536,0.0009737015349609692,0.0019593104924329695,0.00021507529977943384,0.0008129500143255245,0.001336802870649707,0.0028214970025832644,0.0020260347322968567,0.002770105240543633,0.004982087676956724,0.005573813058604175,0.003360551481614448,0.01040132186231387,0.005779357344890226,0.013049244634935005,0.013657397258819178,0.0021643989227758675,0.002146815107940277,0.0016322252784085763,0.0020373268682592075,0.002531520743884994,0.0018602145702718343,0.0017977079044078777,0.002917904194960279,0.0017698999308677784,0.0021387433009581592,0.0012566927438482825,0.0032930911836075044,0.003470761291774941,0.004422030997872309,0.00538406849299924,0.0064561054955779365
sub-P001,Contrast1Size1,2,1425.5577253537238,1000.4264213875199,475.9979777765927,1743.2816316757214,1553.279127740988,1017.7138194626131,581.4301702082598,1894.7903095718314,1635.979368223154,1089.6745231415478,225.84046756853752,1228.7954946241048,449.77162392217224,679.7480008026605,372.52745789763793,626.3767766430401,643.2559879774901,575.1535276818717,720.5279871339998,391.4412287264688,866.8691197431186,904.0935187902353,1173.1319049210524,1764.8233007569243,852.3094446471697,338.43056430893694,707.2060026376959,2975.295299049569,2059.2407392553346,4295.171517325014,4183.943135700384,4965.489331664262,163.77895225141285,133.3654400513329,94.30706734019185,369.17417523988496,282.7035923947205,197.79439753216593,220.73695429935407,589.3974314256575,569.6682347398649,630.5024430725974,391.821316655848,518.3009218289222,1064.6315733550719,735.3924336733324,1429.745733404893,1484.069256872775,31.082856911023246,68.88086392554935,98.98854399550477,114.08010312577831,74.6538246188603,188.9797587388643,123.61718833699359,220.54304668990133,216.90103938003926,141.0506821596834,227.72359197116347,414.2551181170963,608.774136041789,598.0417455838917,1112.5395015339361,940.8203795774646,0.012780730930921745,0.008957427075381464,0.0050014726472021685,0.018917233378116956,0.016251139024177796,0.010495691295045632,0.00877216477027958,0.021341838617957787,0.017609141043547844,0.012966180907172456,0.002918170458942417,0.011679068249706421,0.0042314830891192114,0.005894257560096269,0.0032319093775037906,0.005657721669433555,0.005767063343579851,0.005149699839208014,0.007570832624179163,0.004247727356891533,0.00906959369318274,0.009323924165719201,0.01769929889182286,0.019877964270609436,0.009173977077620904,0.004027029932474727,0.009138077367191848,0.028278649305481386,0.01937348178748619,0.0372444599439917,0.03629833121973054,0.04485057179427948,0.0014683479200073768,0.0011941020129987497,0.0009909164319206426,0.00400609626309987,0.0029577783545722087,0.0020398553077360594,0.00333030694521758,0.006638636898120763,0.006131720539029979,0.0075024317497340886,0.005062872051936491,0.004926183296088227,0.01001612876221355,0.006376763751711307,0.0124039410928657,0.013404792621062043,0.0002786710237535677,0.0006167323276474983,0.0010401062993848536,0.0012379410735576636,0.0007810635325616701,0.0019489498627253206,0.0018650396902217478,0.0024840712383800427,0.0023346510775888035,0.0016783806752587226,0.0029425030245867428,0.0039372815236108655,0.005727389912440848,0.005185763071018402,0.009651978053222906,0.008497920176905824
sub-P001,Contrast1Size2,0,2329.13887128678,2583.5483723992015,2372.3146756782294,1001.9857655196455,723.1368651627143,1313.876694260669,964.1850738900791,818.7857292325983,762.7445487462102,787.5669882889945,784.7000477217205,853.8379798265646,809.3910160466423,945.7494759712226,1218.8712957697473,952.276588523721,1054.2097814735537,919.9297009635192,522.0656972276726,1688.763280150894,1046.61382469349,1240.1410898249828,1025.6504224392359,1415.9828293856833,1618.6456660239703,1259.9339199469343,1460.078652659508,2443.4730746379264,1284.821123894651,3531.4341998386535,2585.866086022736,4116.600021847044,224.7890415446821,313.7579902226535,243.05269921560154,153.14000811788668,125.23807006284392,221.35489241804243,253.97346811707402,438.527903439944,108.36812171561286,105.15086045410474,146.74304865428303,239.15749422259492,140.6595907019552,353.96913761656583,454.95679284205676,562.1259133731108,81.28184401892297,50.619669269789334,248.09857605199525,51.91852121736701,115.31832456449547,101.82927688834027,31.21120213824876,48.875253690626266,129.3316831539271,108.51059243893924,164.07213762345725,187.0828645324281,517.3319382127054,532.409099954103,872.79639512046,804.1533327116007,0.013634408347694483,0.01528540333196058,0.01606389920015254,0.008749098244737644,0.006388693000925318,0.011985794434989615,0.013466114870959904,0.008731636471183007,0.00832544573364059,0.008842378473079969,0.009910296624299954,0.009184904369807428,0.007988592032742449,0.008329099876589448,0.01084740836470709,0.009091807992623251,0.006171176318397559,0.005442706885808809,0.0035351173358673708,0.014745874001995373,0.009246512988915918,0.011313143948710037,0.014324559444061535,0.015100223262587727,0.01766770628072883,0.014145860272083876,0.018439928205274434,0.02628492413198511,0.012681030046486871,0.03110090875583513,0.023013049457220318,0.039303010734606236,0.0013158792815191,0.001856329643530109,0.0016458078266569684,0.0013371816470151654,0.0011064400395073924,0.002019302305377165,0.003547074092365061,0.0046765180420235255,0.0011828506910772937,0.0011805772953043473,0.001853277751085029,0.0025726645636019825,0.0013882932517571952,0.0031173628697081313,0.004048911593359493,0.005366866027851516,0.0004758109815905224,0.00029948812632474465,0.0016799754932432065,0.00045334001588002976,0.0010188021224140642,0.0009289340358792765,0.00043590555862755686,0.0005212120001937175,0.001411670409848693,0.0012182985586632396,0.002072133876316595,0.0020124874514354896,0.005106004042489979,0.0046888617772363975,0.007767496822654161,0.0076776094107030915
sub-P001,Contrast1Size2,1,2003.5862965400602,1765.6555429484806,1213.233100827856,1362.6143594681532,1541.2578479654012,1210.516656031978,810.7602678117557,420.26773656716176,960.3184397775414,1050.0239292696417,980.8722304218904,464.8290919960879,748.7757096303761,539.1758673248556,638.4937755358741,421.06772626508086,922.695772533191,955.7938758982124,777.741285835654,440.63943457489626,402.6277102183698,501.82719800150886,346.8543187564921,1176.9616064400852,570.5467770443997,568.1585491790855,393.04153709884264,1860.172379197606,1019.5423664256823,3119.0823087436543,3371.6968309067956,4115.367683470956,278.80510387418445,263.06186916189927,228.1249154265416,294.912614002464,361.8075857947655,293.42447682085344,153.3063859330903,315.63879038242555,342.9159178932353,427.85568982012717,352.2929313637752,189.52028174975501,673.9304525113287,246.6080114926731,358.7626442701205,308.44709822313445,107.59766669911791,185.66830087731648,118.08297316525014,131.7856549423524,193.14627834109066,346.4483973738146,270.8870089518431,88.15945998880929,77.52409541699255,176.08852761353197,189.76322794918255,151.1712109421618,363.8074538664681,337.5245915657063,586.1305827223921,536.0870613598489,0.01546814246270595,0.013329559705868894,0.011176214861138529,0.013920674601969123,0.015161620254282667,0.011870937447909631,0.01173599618632078,0.0043608671115913916,0.009944616078450543,0.011882574714504057,0.012471781790969888,0.004475736775944715,0.005677386292210579,0.004654555912312769,0.005861405267695922,0.004055664559537505,0.0071234214787386655,0.007215626845321104,0.007164496015601827,0.004501639178312326,0.0039607184834391995,0.004921170846721752,0.005020819499606046,0.01221262712920652,0.005908320008744424,0.006429554815003683,0.00499751969058779,0.017911189446897555,0.007730400146567848,0.02692617359375585,0.03095234804625022,0.039638637260010934,0.002152438890954048,0.001985947318736632,0.0021014700870313954,0.0030128719156803916,0.0035591638531998395,0.002877468552513618,0.0022191555655599947,0.0032751950729418915,0.0035510795267324684,0.004841820323894521,0.0044794015267210895,0.0018248489808850462,0.005109892673841982,0.00212889865344313,0.003293459284254609,0.00297091865921877,0.000830678488883062,0.0014016758319114757,0.0010877717387008088,0.0013463422038029304,0.001900013375180125,0.0033974478861234676,0.00392117007973658,0.0009147780240785091,0.0008028038761077512,0.0019927022874518595,0.002412837775939818,0.0014555942386747685,0.002758470160049817,0.0029137563055591296,0.005380708499849239,0.005163514465639664
sub-P001,Contrast1Size2,2,1761.40917041948,1771.548495629936,1805.4960858031181,1206.2982909265882,1120.3059008443358,1538.4897390139386,1013.458066120602,871.7657867116437,898.9565640578861,1057.8086983543033,1038.013717440673,417.69728188634906,811.9904981507216,706.8926198202383,959.1523298918158,1028.5498199752783,267.8831205723517,242.39064028832422,716.6234873785684,220.6206789821275,500.58504040516067,987.3849322179262,808.3138128839767,935.8959934639207,402.93745666167615,1093.6456291497432,974.8530228551145,1369.8753895835496,800.5996157830351,1584.1034484124232,1864.0330052071793,2663.822943741902,165.98017549063255,179.07229272197267,178.0788767194059,224.8689347504994,234.983002277232,208.6030898151198,240.3253233076044,108.57633229991355,201.43147525609498,278.53798717485574,75.08120876466268,201.20224543634959,413.24787563060886,301.72299674859556,142.29580199791616,509.5118763114824,193.24399976730297,222.84312535061665,56.02731500249557,232.0701014793303,221.86829828367564,248.16035097094266,195.07215102140427,234.54217547064664,48.880709388883496,177.3654686697689,243.84128167235062,137.40538780259467,465.75109925944,354.40954263478216,860.7387647971774,724.2364368103929,0.015166702430567162,0.015752486025281263,0.018759086689855785,0.014642954612287495,0.013351773885798524,0.017527935180256343,0.01624525562028432,0.007583455826369623,0.011928735650198315,0.014232573753946046,0.015300302809993765,0.004506489240612302,0.009330122366646364,0.007071929217646699,0.008630750499632304,0.009752682601921235,0.002306621110031476,0.0021553207169996724,0.007445711031681107,0.0026780594925537734,0.005965958284309447,0.011249226206064944,0.012956889831635367,0.008141321938409081,0.00534679271085546,0.014714751449643461,0.014369315351339288,0.014779432311023626,0.009199236196676844,0.015847764068397725,0.016773147798992007,0.025258299766806325,0.0014291806658643818,0.0015922983737540325,0.0018502377890924737,0.0027296280116054544,0.002800520742635651,0.002376604369830955,0.0038523017771264273,0.0009445011863696556,0.0026729020244460845,0.003747664820595002,0.0011066956150368541,0.0021707485146926393,0.004748397002392696,0.0030185117463596175,0.0012804218119635028,0.004831178339708109,0.0016639371987970776,0.00198150557355607,0.0005821232554288026,0.002817041181597422,0.0026442200731763782,0.0028272782299583075,0.003126914732517712,0.002040273034585845,0.0006486242873205292,0.002386411756845073,0.0035942159380732666,0.001482451355532248,0.005351681772616036,0.0035456010280728104,0.007745194681603952,0.006867191029334793
sub-P001,Contrast1Size3,0,1231.5588590073748,1192.0379564242362,166.8330525992104,500.5832251536549,548.0369950186381,183.3056345986821,316.79520288416734,837.860614657118,597.3634416277871,846.3545872334515,322.40190776986634,864.1240212898143,302.81729782400424,492.6504370106378,579.0136028987313,720.1869392055604,903.7097248694729,678.2019683004377,623.6690297906126,2225.0934147584403,1093.121252693118,1304.4603795808055,858.8561533497164,1781.3348497045142,2164.5199652979036,679.8115916622392,1010.9375391961463,1726.644241029015,490.3224099573333,2764.788375626179,2055.4300633961543,3618.966547329704,257.6301236188083,223.99712506380223,667.2821519308454,277.1188391543621,342.57017233282204,612.5148685499306,475.6850693381205,223.26702758420365,164.9281967047494,546.3003602150068,407.89675355530863,270.92051638640675,232.2387073654128,677.2270643124021,520.1597641273203,845.3214907406636,67.45566875553142,152.0030098693007,137.54876039245713,145.63822270012133,131.69641933016925,118.45960543932604,55.057563652103134,155.81929880425636,22.253429819351993,55.63280908546452,68.03899226778785,164.12192648642144,149.66993344764916,302.0330798856239,224.5699160176652,354.5925781635445,0.008019066814952952,0.007490956226646429,0.0007218760542008815,0.0038333636707523168,0.0050027568627281195,0.0015534908892490655,0.003402329385554627,0.008775904413171207,0.005903569707557232,0.007775888053642672,0.004273747233033422,0.009460608969541979,0.003470417937856286,0.004969922119318789,0.005615829726024824,0.0074361242952975274,0.005884338058265437,0.004261929102160202,0.0026985763992108977,0.017039309013095773,0.009978559656394135,0.01105512833526247,0.009223976568782162,0.018658025088403293,0.02139132328505912,0.006245773242174359,0.013400948960863955,0.018903659187144095,0.005619308074791116,0.02789154717214492,0.01993553379747463,0.03736680520220637,0.0016775107090772354,0.0014076335822232988,0.0028872876169910213,0.002122119234357708,0.003127152539302015,0.005190982098859864,0.0051087809251658435,0.0023385394401116144,0.0016299375524806271,0.005019137969798507,0.005407063605574764,0.002966093991383868,0.0026615565943459017,0.006831955305166732,0.005045008702807915,0.008728172273670747,0.0004392250608581766,0.0009552111047411997,0.0005951647761961493,0.0011152676396621445,0.0012021910410962636,0.0010039294111003564,0.0005913093538196276,0.0016320796658918343,0.00021992419524835246,0.0005111267807649085,0.0009019222527380433,0.0017968408834398062,0.0017152825334844663,0.0030469492600026424,0.0021780946140629366,0.003661263960608302
sub-P001,Contrast1Size3,1,1838.2831693128355,1866.6714435993076,1646.9076034834184,403.31690389048714,448.5292158945813,611.9361320703023,307.7051275331826,1173.7663911887869,636.0635515030907,530.6214062806931,722.7671161936801,1526.3937491446393,1258.3398620704743,1346.588714822594,1328.8097812229607,1264.9466054398201,457.1532030651369,673.1770703929573,311.7641128209216,1337.8255357578146,681.6230600206718,1193.1308105332382,751.9217382548359,609.5552203994127,1563.0521184392046,1558.1672119968555,950.6654959276192,682.0971099053274,906.5260578770843,1827.4669954198812,1906.8829496530936,3138.504763560238,619.4433827150297,637.1022575263596,343.6737351966908,684.3416221695778,494.7476284798717,659.2101501983664,564.2640735413095,291.0521392549022,380.90229179586817,463.5385252597377,280.309259310051,472.65489289623287,112.59313895169505,479.9830215324908,643.5596251413277,855.4487543080228,228.61161447492873,342.222652657431,327.2773959297506,108.01413674457413,232.54842284658915,553.5481794498774,161.9204751933772,135.45397584038784,48.84751016348326,108.53272256667076,193.55917858947544,243.5197422406204,213.70555758412038,158.81981945089967,456.57584625790605,407.151276146217,0.013475676377879008,0.013068785841242169,0.011251668559651633,0.003634415526392289,0.004426470081899482,0.005687846057249837,0.0029580420470473124,0.010733672956911834,0.006501082750303198,0.006235802988558366,0.009369951533714218,0.013562681027633909,0.013190385537035094,0.013218233865376195,0.012060571954401633,0.012884242427192666,0.003351196770146905,0.004712991671012471,0.0021299716261162834,0.012055566855393999,0.00672683958010756,0.011089955341442614,0.007228401215403377,0.005574164019400075,0.015975653912250008,0.018311405537423348,0.012324425699562663,0.006060733370207405,0.009502542646223223,0.017938577578157387,0.017307292095446968,0.0319675597837184,0.004540877433484157,0.0044604276725471615,0.0023479780850556866,0.006166817688466995,0.004882592923604755,0.006127250308001247,0.0054244037743355275,0.002661567497266338,0.0038931287807536653,0.005447452528135563,0.0036339287100088397,0.0041997469867092775,0.0011802430776961623,0.0047115557706587635,0.005841089729804142,0.008713260375691726,0.001675855050144515,0.0023959409530463715,0.002235958336872485,0.000973349373327864,0.002294986814337801,0.005145139606857036,0.001556579761083896,0.00123867806089731,0.0004992609700220153,0.0012754643286660157,0.002509300826855712,0.0021637802105727794,0.002240140983297984,0.001558989387665698,0.004143983528904614,0.0041470807730929924
sub-P001,Contrast2Size1,0,1915.694614405913,1693.5708815866053,1375.6927198117567,1792.485544733594,1696.3812899117224,1055.7330568044504,447.82452422865936,930.5650969757004,1328.0249899548317,862.8169882659063,797.5426154916988,871.6457700904781,1354.0225630237314,312.6533785880643,1251.7841303505788,841.8147203387291,1353.279563525468,1722.1987502723446,1385.4437123162106,2087.306894568598,841.671548779818,3243.875594336894,2184.3732127426033,3354.5876150992476,2799.145068737481,1554.0430771084086,1054.9814169554675,3936.5389623154847,961.5612190384172,4800.250135607417,3326.433024012253,4646.939438805406,323.30381403044436,363.58421609671507,107.44596326732146,530.7269256599897,187.19349032305553,255.5518459154605,78.0542041563855,516.4633313895856,512.8838528904414,276.9270301667808,111.16739674025631,549.3747846149971,470.36358543514683,851.6807447763915,1233.344635786231,1402.0150756088492,357.9350055924855,281.9023634190888,249.5699358582559,456.66833707222884,422.75660878085597,395.91203896671266,194.4774782101627,181.96417529351015,269.6106916358683,138.99886079571755,45.83721848852003,414.33671165350256,207.95433284112636,637.6105157047639,571.0831387624756,790.2415462630298,0.012806906557294998,0.011025833949554788,0.009948671255947507,0.017022598356130184,0.016633908556740604,0.008403822619482445,0.005207725069023013,0.009316279559685385,0.01429992306218714,0.00988218639498126,0.010320362165075533,0.008735330926077,0.013163710408908529,0.0028163595598100733,0.010302197607354771,0.007750246815827401,0.009047018656124553,0.011212212996272283,0.010019188034475851,0.019822411966788515,0.008253031120109966,0.025821825809822015,0.02540194769300665,0.03358419108055043,0.030140667100103224,0.017799073920276874,0.013651672135027507,0.03945062514976938,0.00934822932314529,0.043240314305734016,0.02737658156075783,0.04278248730843373,0.0021613683646487785,0.002367080844945682,0.000777022768915621,0.005040125048058051,0.001835530383981569,0.002034238076863244,0.0009076877520899184,0.005170532177908944,0.005522636766361503,0.003171755502191546,0.0014385285162483255,0.005505643130185941,0.004572841099292419,0.00767188001706348,0.01015044035770147,0.012907784353197404,0.0023928867032021214,0.0018352988250093351,0.0018048283686210394,0.004336816944929831,0.004145350349027053,0.003151530140076077,0.0022615671626735486,0.001821720084270691,0.0029031171674466063,0.0015920092786235321,0.0005931428443476655,0.004152338501843694,0.002021717134229458,0.005743550507754199,0.004700020716920018,0.00727543351248974
sub-P001,Contrast2Size1,1,628.3286182098137,763.0394300342983,839.234207686646,400.1299019697634,213.9403470318832,370.233371340573,241.78784188210275,268.44351939079,402.60854655276495,652.3004330159162,738.7628538825624,631.6409839021751,1025.3510681761647,618.5897629089623,560.6274045278691,577.9292111847631,1265.2418470234413,1311.7543539031858,498.0314959192649,1063.584225742629,1264.6380514108898,1376.632978888467,632.5927641579826,291.2272466563499,734.6657258432814,884.7668601080554,856.3509618950496,996.3279427521538,1778.6960639930346,2707.7916441692328,4473.992846757563,4591.6190611708635,212.17775686597477,131.50046794887882,218.02159790227648,254.8262363735495,221.81758156265408,280.5474497119967,295.4767230927573,450.2266671135407,420.5946891793915,515.6461425861193,517.5658768053611,523.9035496841329,1047.8543643308287,659.022738651765,1605.4498070565628,1134.3095996114703,114.20612738314547,146.04691777427996,199.93745469446256,116.59681633757229,128.19147330922814,208.51517639617344,89.68886760688521,349.9138526615894,195.29767973445922,236.30999606957883,148.67904286384265,205.52013120254253,386.3737767126721,406.3352948582651,707.4591965963882,620.3320783448579,0.005078657250837137,0.006263438221870683,0.008469557634127897,0.004367369135268399,0.002142082473347755,0.0038018327274891325,0.003585072464786407,0.0030592184942246445,0.004831362774351448,0.008236821762228876,0.011007329731912225,0.0066816961060079914,0.01132653417119485,0.006341671931173978,0.004916231817682005,0.006027071645756276,0.010226702229091321,0.010767585572312019,0.0050261374234570125,0.011608892255739762,0.012662216560077901,0.014136295423419811,0.009379673032987914,0.003318864918084495,0.008816098589615845,0.011172255235432478,0.012759354851533239,0.010539468946848833,0.019648354962776067,0.02775979703340589,0.03923316236000702,0.047884786780313174,0.001714991283452751,0.0010794265993670415,0.0022002755273858587,0.002781397326507604,0.0022209534589328135,0.0028808707115370587,0.004381136188235991,0.005130843723672777,0.0050471991759492235,0.006511241069127248,0.007711565672315868,0.005542015792297579,0.01157511669163216,0.0067561835877461346,0.01407844739553854,0.011829416290123823,0.0009231057763642419,0.0011988316867618649,0.002017770224623473,0.001272640046236164,0.0012835199718891801,0.0021411895392647096,0.0013298480484064336,0.003987665382561878,0.0023436013663028824,0.002983967539709779,0.0022152700835274854,0.0021740562999549703,0.004268075511516222,0.004165676977792463,0.006203823402011411,0.006469279987908537
