Participant,Stimulus,Epoch,Fz_SNR,F4_SNR,F8_SNR,C3_SNR,Cz_SNR,C4_SNR,T8_SNR,P7_SNR,P3_SNR,P4_SNR,P8_SNR,PO7_SNR,PO8_SNR,O1_SNR,Oz_SNR,O2_SNR
sub-P001,Contrast1Size1,0,5.596275962749894,4.859271939398241,1.183050304159739,8.302988835482136,9.244887947064635,6.6227242857712145,5.579796739052767,4.563784030840435,6.715667960556647,1.6868051242360835,2.5263941846276277,6.401941437604569,3.9308411598667563,9.300906296624218,6.110192337735741,7.194651574322778
sub-P001,Contrast1Size1,1,3.806363275305279,5.747025693613233,6.833896513289486,2.3447774031055033,7.393752600203314,8.83136002677014,8.89452358914952,5.245285563822385,2.709850383493011,3.210985810689086,-3.7918319661727287,6.82395827195176,1.4366153835252757,10.252811599293308,6.636662928390715,10.002002239815855
sub-P001,Contrast1Size1,2,0.055768986232705195,1.032698993194863,6.339184321625243,0.0774909073010891,1.7433273228074377,4.330409000588177,8.939924455880233,8.248852569000215,1.9312144939710354,2.9751594632958938,3.053013961465182,11.51524717413939,5.612836254237775,12.98564265309367,10.43993386856129,11.517923677693533
sub-P001,Contrast1Size2,0,3.421055759968757,2.8879858192465004,1.161589013375842,5.631358661125785,4.484646910840112,3.9809522715764474,7.054706754090652,4.390395367740535,5.668877383907449,4.62868783909339,7.891782976215916,8.157198928498532,6.132167333153774,9.166935661491939,8.423541154045166,10.037864666715652
sub-P001,Contrast1Size2,1,1.5549541058413947,2.9342502112689948,5.444342607091914,-3.29522583504788,-2.112488952052315,1.5985786792368288,3.732883907747195,0.9679638994608409,-2.2657095185242593,-0.18449137547149919,-2.654641249438045,2.7179855270330777,1.4526527519941757,5.397260208584628,6.09901864067285,6.456627795426979
sub-P001,Contrast1Size2,2,2.290441789900033,0.6452646446287136,5.586460788753883,-0.6927084104746267,3.3685500608608883,4.590415599335474,4.136670401505064,-0.3671767885132772,-8.80603818311368,3.8796413387125224,6.803023576620292,3.5922055165959947,4.731568539072732,4.790284720110499,1.2431477899299377,5.127257293120065
sub-P001,Contrast1Size3,0,-1.3707052788373442,0.6228181976685564,2.5106677215138076,1.2961203239332528,1.8908898858609202,4.649249418065377,5.905497855046789,2.947419849774369,2.635697947630339,3.598013714148151,6.066211964923203,3.990864856753971,0.6493720405100898,6.7073700278790085,4.3173495362232055,7.917332178649863
sub-P001,Contrast1Size3,1,0.4204636552773822,1.694213548098973,0.9755335911361449,6.401425747689482,4.393785114950735,4.648078231956603,2.9867010793501936,3.2367395295612917,7.190135675765074,7.135653852066186,2.9807190848632086,3.6968484177473986,0.08066252469577413,5.99706282035544,6.966400870622618,10.002978093819834
sub-P001,Contrast2Size1,0,6.597093126610699,8.456463157719078,8.157692087162948,7.531789994481006,5.090764329385174,13.544236889342532,11.013570420144545,10.353537721502073,10.083832984297565,8.048012119356272,4.765661097769863,11.054617924747918,1.8919488432696636,10.94587814717867,6.588494752060968,8.610555946291141
sub-P001,Contrast2Size1,1,3.607006709687963,5.824057104070689,5.44613008706362,-0.38470920712573164,1.9502850256565394,3.8766668427025093,4.526294742296945,0.9215039355209059,0.33545094161524175,-0.9554258596082319,1.1306626243561297,4.798044829150553,6.04268417439356,8.460078718645944,10.412645027049104,9.569888634411107
sub-P001,Contrast2Size1,2,4.735875951454798,4.903404730819791,7.355761339456381,0.613935444908251,2.9168172967243002,5.971712588739681,9.353400272025606,-7.986795318453593,-5.787138892398401,-3.734650567785528,0.8795234141257349,1.3056446721239467,3.965735464972531,6.516829971768585,6.928822885529132,7.047599281241576
