iter	RMSE
0	3.254993089
1	3.219182013
2	3.151106709
3	3.093081877
4	3.061784829
5	3.015346417
6	2.963931948
7	2.919707849
8	2.882439896
9	2.845152907
10	2.815815131
11	2.773984847
12	2.729134759
13	2.684825691
14	2.652377205
15	2.62161974
16	2.578777923
17	2.538543356
18	2.50360734
19	2.471030577
20	2.426483556
21	2.390467564
22	2.352230157
23	2.304977244
24	2.277491969
25	2.246817204
26	2.203304293
27	2.174645803
28	2.137947441
29	2.110665908
30	2.090221199
31	2.060193059
32	2.019749635
33	1.999422885
34	1.974263435
35	1.95011888
36	1.916963548
37	1.895029728
38	1.873145057
39	1.853359945
40	1.83727293
41	1.807901507
42	1.784660863
43	1.762464545
44	1.741317209
45	1.718784538
46	1.692626981
47	1.67640135
48	1.656547518
49	1.637543377
50	1.619689497
51	1.603924982
52	1.584663186
53	1.559095434
54	1.540371067
55	1.521187512
56	1.50478671
57	1.491997843
58	1.473723279
59	1.45278828
60	1.440088885
61	1.428291979
62	1.417350818
63	1.405339385
64	1.391354184
65	1.381009177
66	1.369216163
67	1.35689338
68	1.339748121
69	1.326098707
70	1.316013994
71	1.299414325
72	1.285930993
73	1.276881176
74	1.2669544
75	1.256844097
76	1.247494699
77	1.23382382
78	1.221069354
79	1.21069112
80	1.201087811
81	1.192722089
82	1.182248332
83	1.174523049
84	1.161420203
85	1.151934095
86	1.143508918
87	1.135538325
88	1.123032568
89	1.113373248
90	1.10383268
91	1.093771736
92	1.082230073
93	1.07481417
94	1.066157877
95	1.05733778
96	1.047700514
97	1.039164646
98	1.030068816
99	1.022036265
100	1.015651034
101	1.007455172
102	1.000187212
103	0.9910436943
104	0.9798796648
105	0.9708055985
106	0.9618910388
107	0.9541597294
108	0.9471337206
109	0.9407848137
110	0.9337397654
111	0.9277368119
112	0.9212669316
113	0.9135419306
114	0.9075429715
115	0.8998984148
116	0.8933749399
117	0.8867612882
118	0.879596742
119	0.8725909072
120	0.8652713531
121	0.8590668614
122	0.8532736644
123	0.8477967036
124	0.8422219779
125	0.8367032279
126	0.8315552404
127	0.8252488386
128	0.8191136317
129	0.8131397151
130	0.8070353797
131	0.801925627
132	0.7959724734
133	0.7903252463
134	0.7846609612
135	0.779007543
136	0.774263046
137	0.768418867
138	0.7638644982
139	0.7588253845
140	0.7540413569
141	0.7490549035
142	0.7431670197
143	0.7389989266
144	0.7332643281
145	0.7287689795
146	0.7242192203
147	0.7194726308
148	0.7152351282
149	0.7094658823
150	0.7053968336
151	0.7005743716
152	0.6955795256
153	0.6909050577
154	0.6860319398
155	0.6818218363
156	0.6770281796
157	0.6726093907
158	0.668045152
159	0.6634970522
160	0.6597053122
161	0.6544101284
162	0.6501827299
163	0.6463288087
164	0.6424088289
165	0.6387977207
166	0.6341057858
167	0.6299301874
168	0.6255770232
169	0.6208625348
170	0.6170994449
171	0.6121136732
172	0.6071176102
173	0.6029564946
174	0.5991722011
175	0.5952561655
176	0.5908578863
177	0.5870689877
178	0.5829577062
179	0.5789305036
180	0.5742941989
181	0.5699166313
182	0.5658613049
183	0.5613735692
184	0.5578198898
185	0.5539124845
186	0.5493038271
187	0.5460574713
188	0.5419173801
189	0.5385128714
190	0.535116245
191	0.5314913987
192	0.5281460466
193	0.5240975299
194	0.519335939
195	0.5161566409
196	0.5131207953
197	0.5094188974
198	0.5058961292
199	0.5026296853
200	0.4977407075
201	0.4945314587
202	0.4915117131
203	0.4881641257
204	0.4843661317
205	0.4810413523
206	0.4776211798
207	0.4745580536
208	0.4716682817
209	0.4679784921
210	0.4649178673
211	0.4614409747
212	0.4569428187
213	0.4537207746
214	0.4497677723
215	0.4469182108
216	0.443691031
217	0.4406342291
218	0.4373578501
219	0.4336704317
220	0.4306941746
221	0.4278109696
222	0.4251963401
223	0.4219044217
224	0.4188776843
225	0.4160679632
226	0.4136551793
227	0.409886942
228	0.406965727
229	0.4038277322
230	0.4004951264
231	0.3976634303
232	0.3951822378
233	0.3922650207
234	0.3892711152
235	0.3860806968
236	0.3830397209
237	0.3805082445
238	0.3777763292
239	0.3753956145
240	0.3722803231
241	0.3695652191
242	0.3671977713
243	0.3648115111
244	0.3620222666
245	0.3597063954
246	0.3572031409
247	0.3549529973
248	0.3524496494
249	0.349795787
250	0.3472260861
251	0.3451257199
252	0.3429309652
253	0.3405642881
254	0.3380163211
255	0.3359560794
256	0.3336668075
257	0.331193012
258	0.3291407572
259	0.3263836077
260	0.3240250056
261	0.321861012
262	0.3200411627
263	0.3180780338
264	0.3158868263
265	0.3133432354
266	0.3111837827
267	0.3095911993
268	0.3072742144
269	0.3052287858
270	0.3030687772
271	0.3011843512
272	0.2988753962
273	0.2970218846
274	0.2950973484
275	0.2930584136
276	0.2913969769
277	0.2891573382
278	0.2872937948
279	0.2854211868
280	0.2832275036
281	0.2812702412
282	0.2790353294
283	0.2773791171
284	0.2758260081
285	0.2738849834
286	0.2719161781
287	0.270178632
288	0.2684744673
289	0.266145008
290	0.2644961332
291	0.2625839423
292	0.2602688771
293	0.2586682002
294	0.2567508391
295	0.2553218739
296	0.2535668703
297	0.2523409371
298	0.2500875384
299	0.2478091286
300	0.2462402381
301	0.2442457522
302	0.2428721166
303	0.2412724057
304	0.2397303256
305	0.2381823606
306	0.236710918
307	0.2350745731
308	0.233755752
309	0.2321746347
310	0.2308698112
311	0.2292406082
312	0.2277992593
313	0.2262902757
314	0.2247734425
315	0.2233030704
316	0.2219638376
317	0.2205665019
318	0.2194207215
319	0.2177517655
320	0.2163067083
321	0.214682806
322	0.2131737353
323	0.2114787523
324	0.2101260085
325	0.208480249
326	0.206868362
327	0.2054782384
328	0.204084197
329	0.2025539498
330	0.2009227708
331	0.1996939523
332	0.1981692188
333	0.196523167
334	0.1953954812
335	0.1941162672
336	0.1926206997
337	0.1913035114
338	0.1900060977
339	0.1887995343
340	0.1876144639
341	0.1862631412
342	0.184930224
343	0.1837788554
344	0.1826106311
345	0.1816328706
346	0.180112938
347	0.1789535369
348	0.1778581882
349	0.1768395703
350	0.1756989836
351	0.174497267
352	0.1731483559
353	0.1719064636
354	0.1707706211
355	0.1695398016
356	0.1686084227
357	0.1672741427
358	0.1661841064
359	0.1649479946
360	0.1638421292
361	0.1627443923
362	0.1617613077
363	0.1608082423
364	0.1597579603
365	0.1585248614
366	0.1575314973
367	0.1565691358
368	0.1555427507
369	0.1545285608
370	0.1535729373
371	0.1526932226
372	0.151668507
373	0.1507554675
374	0.1497044614
375	0.1487876353
376	0.1479255223
377	0.1468160482
378	0.1457459626
379	0.1448692239
380	0.1439875347
381	0.1430848782
382	0.1417878866
383	0.1408481076
384	0.1399309357
385	0.1389085117
386	0.1380444586
387	0.1373045289
388	0.1365046641
389	0.135852401
390	0.1351149799
391	0.134226208
392	0.1332693093
393	0.1322762013
394	0.1314711348
395	0.1307192159
396	0.1299792897
397	0.1292556121
398	0.1284627595
399	0.1276379887
400	0.1267509424
401	0.1259152726
402	0.1252759214
403	0.1244486052
404	0.1237455342
405	0.1230742617
406	0.1222566797
407	0.1215677151
408	0.1208285881
409	0.1200649054
410	0.1192978846
411	0.1186156887
412	0.1178487933
413	0.1169737657
414	0.1162533727
415	0.115537677
416	0.1148038857
417	0.114114437
418	0.1133307151
419	0.1126871638
420	0.1117603261
421	0.1111011465
422	0.1103162261
423	0.1095224754
424	0.1087705871
425	0.1080574741
426	0.1074718154
427	0.1068340474
428	0.1061623877
429	0.1054448091
430	0.1047688112
431	0.1040475167
432	0.1032863818
433	0.1027345499
434	0.1020920571
435	0.1014434412
436	0.1008643756
